,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,ssd,Chain stay position on BB,SSTopZOFFSET,MATERIAL,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,Fork type,Stem kind,Display AEROBARS,Handlebar style,Head tube type,BB length,Head tube diameter,Wheel cut,Seat tube diameter,bottle SEATTUBE0 show,bottle DOWNTUBE0 show,Front Fender include,Rear Fender include,BELTorCHAIN,Number of cogs,Number of chainrings,Display RACK,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,RIM_STYLE front,RIM_STYLE rear,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,Down tube diameter,Seatpost LENGTH,Seat tube type
1,430,67,608.3238434,73,135.6,45,588.7,72.5,659.3348047,45,40,32.5,38.45,23.35,13,15,7,STEEL,40,28.7,50,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,689,67,689,67,0,0,FALSE,0,1,68,45,692,34,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,255,0,0,SPOKED,SPOKED,1,1,80,80,298,768,34.9,300,2
2,350,-14.5,476.7855081,71.5,80,45,265,71.5,572.2433386,45,40,29.2,36.5,22,18.5,15,8,ALUMINIUM,23.3,39.1,23.1,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,611,104,611,104,1,0,FALSE,1,1,68,45,692,31.8,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,204,204,204,SPOKED,SPOKED,1,1,80,80,240,330,40,100,1
3,415,4,578.3165807,72,198.8,45,562,74,647.0851919,35,38.1,28.6,34,18.75,11.5,14,25,STEEL,36.5,45.9,35.9,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,628,69,628,69,0,0,FALSE,1,1,68,36.4,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,51,51,255,SPOKED,SPOKED,1,1,80,80,278,763,35,300,1
4,375,50,480.2548855,70.5,91.8,40,460,73.5,570.8806826,45,38.1,25.4,34,17.35,10.5,15,10.6,STEEL,29.1,19,33.9,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,623,52,623,52,0,0,FALSE,0,1,68,31.7,692,28.6,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,255,255,255,SPOKED,SPOKED,1,1,80,80,298,600,28.6,140,1
5,431.79,24,504.2074651,72.1,83.1,41,300,72.5,635.5497121,45,40,29.2,36.5,22,16,15,8,STEEL,20.2,36.4,54.3,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,670,111,670,111,1,0,FALSE,1,1,68,50,692,31.8,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,102,204,SPOKED,SPOKED,1,1,80,80,210,350,45,250,2
6,311.9,17,428.8773365,80.6,90,45,315,71.6,601.0916576,15,40,29.2,36.5,27,18.5,125,8,OTHER,20.1,50.1,25,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,486,80,486,80,0,0,FALSE,1,1,68,45,692,31.8,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,255,102,SPOKED,SPOKED,3,3,40,40,240,350,50,300,1
7,425,29.86302493,589.4584373,69.53483638,165,65,535,72.03483638,687.3768542,45,37.5,30.2,43.45,25,18.5,15,11.2,ALUMINIUM,28.5,50,50,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,670,111,670,111,1,0,FALSE,1,1,100,40,692,35,FALSE,FALSE,FALSE,FALSE,1,8,2,FALSE,204,0,0,SPOKED,SPOKED,1,1,80,80,278,755,45,400,2
8,425,43,551.0911008,70,123.6,77,520,73,701.9618581,25,35,42,44.95,23.35,18.5,15,11.2,ALUMINIUM,27,62,70,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,699,115,699,115,1,0,FALSE,1,1,100,45,692,35,FALSE,FALSE,FALSE,FALSE,1,9,2,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,278,753,45,400,2
9,450,73.5,621.2450604,73,150,40,524.4,74,655.1348987,65,38.1,28.6,34,17.35,10.5,15,10.6,STEEL,28.1,34.4,39.1,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,680,58,680,58,0,0,FALSE,0,1,68,31.8,692,28.6,TRUE,TRUE,FALSE,FALSE,1,9,2,TRUE,102,102,102,SPOKED,SPOKED,1,1,80,80,278,718,31.8,180,1
10,443,41,529.7238253,72,105,55,457,73,673.8542299,50,40,32.7,36.5,22,17,15,8,TITANIUM,25.9,74.2,68.1,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,745,118,740,123,1,0,FALSE,1,1,68,40,692,31.8,FALSE,FALSE,FALSE,FALSE,1,8,0,FALSE,153,153,153,SPOKED,SPOKED,1,1,80,80,298,830,50,300,2
