,hip_y,upper_leg,hand_x,hand_y,arm,hip_x,crank_length,lower_leg,torso_length,neck_and_head,torso_width,drag
0,0.7323,0.408734693,0.480959967,0.637630632,0.613392859,0.4142,0.175,0.530560203,0.544560203,0.291510205,0.362583672,21.4433248
1,0.569,0.378940819,0.479902958,0.394078092,0.677262228,0.39,0.165,0.520240542,0.491639868,0.328006988,0.33080354,18.4862046
2,0.3284,0.423010481,0.408428437,0.597881648,0.625847622,0.321,0.175,0.477639868,0.534240542,0.298627213,0.37781118,14.9544935
3,0.719,0.373836708,0.505,0.689,0.642505874,0.423,0.175,0.555489496,0.49927275,0.274317589,0.356640845,20.9139278
4,0.573,0.434523616,0.494902958,0.333078092,0.60594987,0.395,0.17,0.51556201,0.55072725,0.314775528,0.291908143,15.1185465
5,0.7062,0.444381956,0.475349153,0.60964783,0.664174762,0.3963,0.17,0.499334748,0.508205167,0.331360218,0.383176349,22.0663024
6,0.681,0.395616063,0.366107066,0.774815036,0.601650344,0.409,0.175,0.565019224,0.518121139,0.267745363,0.343509197,20.4470207
7,0.5766,0.418799705,0.450347028,0.648845134,0.683130381,0.366,0.175,0.527794833,0.495710285,0.320528435,0.365845496,19.2171635
8,0.729,0.428040327,0.517919548,0.518759701,0.645302074,0.427,0.173,0.549222316,0.502483769,0.289471565,0.298823651,17.428151
9,0.679,0.36971703,0.58445016,0.619065743,0.65566934,0.388,0.17,0.523907799,0.530715873,0.271481206,0.314423652,19.1865197
10,0.579,0.323883759,0.398,0.662,0.632878054,0.415,0.165,0.552116117,0.552456671,0.321610218,0.337231364,19.9578579
11,0.679,0.389675283,0.42720638,0.645282886,0.69565789,0.388,0.17,0.505284127,0.512092201,0.294331806,0.394630071,24.1044237
12,0.673,0.399303897,0.577670057,0.611518894,0.670137361,0.401,0.165,0.514415326,0.500915185,0.301058018,0.371297016,19.0299486
13,0.744,0.425395763,0.439,0.695,0.5873771,0.424,0.17,0.535084815,0.521584674,0.31390193,0.347307171,20.9778088
14,0.69,0.394412973,0.528919548,0.515759701,0.649604546,0.398,0.173,0.542247951,0.493752049,0.310553809,0.27207601,16.1201485
15,0.724,0.416903453,0.483071797,0.708320508,0.627280835,0.431,0.175,0.519053023,0.516946977,0.297797402,0.320964832,19.1766012
16,0.746,0.384966904,0.522222301,0.546482746,0.662358003,0.417,0.17,0.573462366,0.526136106,0.348077494,0.38035548,20.7806931
