,uid,bid,rating
0,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4178,0
1,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1285,0
2,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4600,0
3,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,714,0
4,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2635,0
5,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2652,0
6,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4006,1
7,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2915,0
8,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2438,1
9,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1662,1
10,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,312,0
11,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4649,0
12,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2839,1
13,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,650,1
14,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1504,1
15,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1434,0
16,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4256,0
17,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2842,1
18,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4278,1
19,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1272,0
20,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4674,0
21,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,3470,0
22,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1842,0
23,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,3551,0
24,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4777,0
25,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,122,1
26,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1461,0
27,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4684,0
28,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2429,1
29,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,4517,1
30,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2939,0
31,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2051,0
32,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,377,1
33,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,3030,0
34,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1908,0
35,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,1859,1
36,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,3854,1
37,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,2087,0
38,06f6a6fb-e5b0-49b1-8fa2-37521a357b97,3314,1
