,hand_x,hand_y,hip_x,hip_y,crank_length,upper_leg,lower_leg,arm_length,torso_length,neck_and_head_length,torso_width
1161,0.5395901764782889,0.5364530329805992,0.427,0.6809999999999999,0.175,0.4577416412976275,0.5339263183780834,0.687155290086019,0.5359948280284618,0.2884415659647372,0.338117400293233
2355,0.4716880625448249,0.4752752572156075,0.426,0.6809999999999999,0.173,0.3856223952503758,0.5472206156126388,0.6485926906677894,0.5251863460845173,0.3020457168812577,0.3021199280960087
1831,0.435,0.489,0.442,0.3429999999999999,0.173,0.388114448416908,0.4977582224037211,0.7058046088207974,0.4969542188314059,0.2876348691303927,0.3644654199380935
156,0.3831924249752741,0.6714959283299224,0.346,0.367,0.173,0.412392946310527,0.5183177482862722,0.6949713352869282,0.5719481041625835,0.3298071198846134,0.304490793301046
195,0.5323794991707619,0.5040701035977548,0.401,0.65,0.17,0.3719873963243452,0.5128469487207998,0.6144576151489758,0.5628864801826994,0.297272494261936,0.325182373936273
616,0.4959195478842115,0.3967597005439977,0.375,0.593,0.152,0.401327878605773,0.4789144845912105,0.6392720025816788,0.557216762415769,0.3053672025054293,0.3368761770771645
2812,0.5333567154397132,0.6428932922261071,0.4364645275844009,0.6309911348356317,0.1791897811572408,0.4291847469735152,0.5334323600436238,0.6188594535377068,0.5677568526270338,0.2977647440979041,0.3385202667269099
3069,0.3470667774083746,0.6369858428095918,0.526316085890148,0.6122119833491827,0.1770748355946851,0.4115329428542381,0.4784688504111238,0.6600055930095848,0.4917941674768203,0.2925003462848176,0.3439317597508472
2223,0.4822564710480552,0.4276803621643453,0.402,0.639,0.173,0.4744949793357399,0.545004637615064,0.6313097210792357,0.4883495582292473,0.3076946780914018,0.3497132239811673
5,0.4753491528505998,0.6096478301137377,0.3963,0.7062,0.17,0.4443819560226495,0.4993347481056699,0.6641747616401775,0.5082051672945889,0.3313602179460707,0.3831763487137132
1128,0.5399195478842115,0.4727597005439977,0.377,0.625,0.175,0.3777939912383498,0.533540228826167,0.6769730357192363,0.4886045123938677,0.3262681295625751,0.3421948426183551
