,drag
1161,19.5084345
2355,18.6346654
1831,15.5038141
156,14.0799052
195,17.9371233
616,18.503235
2812,18.5801802
3069,18.8237175
2223,17.5668465
5,22.0663024
1128,18.4008245
2983,15.1193408
3488,17.7419154
3819,21.6922652
2543,20.8095982
3403,18.8518896
3411,17.969678
1397,18.412562
1742,19.9332433
369,19.3983957
104,13.8440354
982,19.7480546
1824,19.3225806
1362,19.8137071
1077,17.1223015
1101,20.7319708
3020,18.1781475
1367,18.5794557
2627,17.1425025
3175,16.2404819
3216,19.8858016
1009,14.8313221
939,20.5505354
3195,17.4345219
3541,19.2971446
2630,20.2706932
2531,20.7401104
1700,19.8127345
713,20.578336
3726,16.4912871
1261,18.9364743
2382,17.0395253
1687,22.8188708
1420,19.4549687
361,17.5786791
1358,21.2036985
2101,19.0715642
1332,19.087312
779,17.8011852
3404,19.0847945
796,18.3146994
1768,15.4967969
2888,17.8393852
3582,22.3951447
519,20.3994706
2724,18.109824
1804,16.9925573
351,22.437084
3225,13.8534325
3414,21.2273625
918,14.485805
3512,15.7863292
3980,19.6536041
3098,14.9140179
3886,22.1698894
57,17.7854286
3394,19.9671869
2792,20.0389056
2439,13.5161578
744,19.0142897
686,16.9552721
677,21.0403621
2981,16.1492734
1675,17.0196
725,20.5183677
1266,18.9293441
3088,18.4533474
1601,16.4331335
3545,16.2900469
3120,13.4774486
211,21.7490975
3579,20.7440362
3818,14.4712223
2488,20.9624261
2239,21.5673548
1861,21.4252949
3564,19.0945826
2678,17.8646862
3725,20.3708672
322,16.256708
1662,17.5607988
1495,16.9198972
1288,20.9099431
1923,19.5663474
2005,18.0786212
405,18.9328141
2294,17.346118
2310,18.366113
3957,19.6279939
1815,18.454536
3988,18.5753432
2515,17.8278888
1410,17.9817638
3850,18.0397737
3664,16.5459413
1501,14.5145262
338,16.5827229
483,19.5065414
3530,21.669478
3415,15.5062982
719,20.6474288
2108,17.8922417
138,20.1620526
50,19.1184886
305,20.3126887
2883,17.1055947
1127,19.8211314
1042,14.4403741
1259,16.0865609
3853,16.2550838
3311,17.0220814
1044,19.819368
3739,15.9147939
2545,16.2027746
3211,21.55735
376,15.5503327
1327,19.5131307
461,18.0200266
3578,23.1160237
1651,21.1897464
1013,16.4926186
3547,16.8281601
961,16.1336073
3876,19.3034413
1148,21.6730143
793,17.4082799
1710,18.3811494
548,18.5011317
2552,20.2440465
2947,18.4462635
245,16.0521387
628,17.3533396
422,14.9748278
330,18.7675706
1694,21.5593344
2734,20.0294134
1095,17.6404164
17,16.6938721
1386,20.0480429
1947,21.2075355
2104,16.948264
1869,20.4157401
2779,22.6827997
3370,16.6597579
2055,17.3504166
2270,20.6652393
1846,18.3186657
710,18.0504235
2583,18.3328056
2954,14.7918866
3524,21.3559111
1496,20.4381975
2521,15.2335845
1390,22.6436
2932,21.5814554
2566,22.2099561
493,19.6873718
2323,18.8322832
3347,15.8349642
3640,19.8777679
3434,15.0581659
2048,21.2549215
289,18.7295909
683,17.2271319
2265,15.4764949
3047,27.2124813
1311,21.335766
2533,19.6162441
1972,18.0871176
570,16.8173925
692,20.8124128
2972,18.2101106
175,14.8752164
981,18.1573613
1939,21.2497161
826,17.9550547
3357,15.18306
2396,12.4110905
2318,22.2951764
2986,21.9290157
3529,18.8999133
2201,21.8028148
1460,21.0535555
3478,22.5750681
3313,13.1982036
3890,18.6937305
3536,19.3360286
3668,15.5358233
576,17.9655049
1504,20.515345
678,20.1125215
2427,18.0758999
3574,19.2008847
1119,18.4023819
2931,16.1941643
2012,18.6221098
3842,18.6330498
23,20.2544819
864,21.6099727
674,18.204415
1436,15.7627263
2242,17.6900481
1854,16.3275203
1775,23.0608851
1341,19.2301346
2175,20.1389151
3147,14.8896054
3906,14.9768073
1526,15.1787893
427,19.8749077
764,22.959218
2993,20.720108
1955,19.0015786
3856,17.9736782
923,19.0726427
240,20.0142034
1248,20.7709383
670,17.3583736
2525,17.9813393
3038,16.7750781
3271,16.5298363
1023,16.7536869
728,16.8943277
1875,19.87441
1992,17.5000974
3241,18.0421994
3952,18.1500859
3798,15.8714576
259,20.4489267
1771,22.5644217
2226,21.2544454
3522,15.070964
2674,15.0993541
1368,15.8767165
3504,11.1001741
385,16.6122977
2447,17.5913717
3201,17.115912
3303,20.8834065
701,17.8664922
2,14.9544935
2030,18.198606
3989,18.7148308
3788,18.3671045
3118,15.7921815
3490,14.6684868
3111,15.8968782
2570,19.1749228
3162,19.1793346
1912,21.761409
3071,22.1733762
2401,22.2922472
1850,19.6081189
1535,19.9354268
1752,18.6984889
2905,20.6348026
1139,16.6552844
1839,13.830481
2743,18.3311404
179,19.4212613
1929,20.4535052
1757,19.2807086
3160,19.6692207
2549,15.1506086
109,20.3540188
687,22.8810467
3112,18.5539813
3442,16.0393724
999,17.5501148
488,20.9614934
3996,21.665211
3285,20.2381883
1122,21.504715
1794,15.8133308
589,20.9210358
3127,17.5048083
2575,17.8835773
3030,22.0909616
3275,16.2995792
3212,20.2897924
3284,20.048102
1052,18.1511459
3840,15.0647848
1115,17.5708587
1491,17.385755
2166,22.1947818
2094,17.7389102
2215,21.3920907
2762,18.5758193
3888,13.9105536
1271,18.2192279
880,20.1146606
2438,19.3719359
1533,19.7190211
3366,18.3419156
1780,16.9121793
76,21.3181499
1900,21.1033116
3352,14.5538626
3487,17.1874672
2161,22.2298019
1950,13.1692813
2945,22.2053745
3270,15.5648975
1239,18.4679184
3695,19.2480338
9,19.1865197
3476,15.668872
618,16.1387037
3542,14.3663751
2722,18.2864113
69,20.4211533
29,21.826188
3182,16.884834
3342,20.9602502
2087,18.9343286
3704,17.7871514
1965,18.7290986
2193,20.7225498
2886,19.992781
1432,17.0545687
2213,18.9463358
3278,21.5812081
1242,17.2965164
3385,14.9019959
158,19.170801
874,21.5380585
1393,20.6094832
1606,17.7495531
1256,18.0347442
3768,15.6502824
1762,20.5409749
2770,18.367335
3040,19.5448169
1652,17.5661893
349,14.3757563
1772,20.7062024
2594,18.549121
547,20.1869388
1936,19.9271849
1749,16.6656461
228,19.1518849
37,17.3036273
3436,20.3549456
3934,18.2109378
3009,18.6090704
3556,19.4771196
235,20.4496741
1525,19.8156819
2573,13.5566811
3697,18.1473598
137,17.6452426
3077,19.2887224
3992,22.9460667
353,17.801519
446,12.3709094
2448,19.7638278
2796,11.6431093
832,16.2722567
856,20.2299839
1669,19.7634566
1282,21.0608051
3371,21.0208084
3495,16.8578951
1014,19.5248483
2330,22.0532295
1277,15.9426335
1494,14.8707157
3976,21.5639563
1881,17.365091
3875,12.1812151
3223,21.2603671
3345,23.8650528
2370,17.0062071
1414,16.281962
2523,21.6680873
2505,18.2105686
53,15.269047
3775,20.0952315
3597,18.7943689
1422,22.8158536
791,18.0998892
3252,16.4696183
2452,15.8748414
3584,19.9579044
3627,22.7969376
3217,17.993934
3964,19.3526122
149,18.6224927
3412,19.0155406
3336,16.3765379
2540,20.6048737
332,17.8653326
852,18.4266651
1036,16.0723675
503,13.9004486
320,14.4637136
1991,20.2459584
3330,17.4647004
1003,15.432109
3528,17.476182
3852,20.409319
1151,15.2192245
3343,19.2671935
601,17.4911321
2978,17.8085836
98,13.8320422
3297,13.2691025
1559,14.6322401
40,20.9385747
3437,18.3084089
2194,18.8455891
113,18.3894439
934,18.3657264
454,20.3739491
1961,18.5612484
722,16.6091842
1108,18.1408635
1509,17.3080881
411,18.5298634
1270,19.9041449
2377,20.3233839
122,21.5474454
3629,16.4717569
2692,17.7934709
1836,21.6319272
1373,20.3360753
396,20.8067704
2971,19.9079666
1100,23.0040608
2585,18.8146004
1507,19.0325646
516,18.5349534
702,19.3399051
1865,17.7503009
3812,12.1381056
406,15.3126686
3872,21.6171416
652,18.9094279
2034,17.6305953
1330,20.9029721
1110,18.9047356
3966,22.0153879
2497,13.2308201
2980,18.3730478
1766,17.8150864
2241,22.9192402
529,22.3553855
3511,21.1712976
1505,15.2415079
2714,22.0837361
2871,18.6303071
2601,18.4736055
1451,17.2039353
3485,13.9911826
1621,19.9942469
1184,21.090285
2252,14.7769083
2151,20.4119704
3087,18.1323544
711,18.5483966
1784,20.7787391
3244,24.1431295
3939,17.4411811
564,17.5405743
3502,11.2109738
44,17.9435038
1319,21.5757725
2111,19.178067
1385,17.331404
3650,19.1051486
806,15.4071686
2128,21.3594329
3422,16.430728
1906,20.1328242
2994,16.5060454
1137,20.8236126
2696,13.8997225
425,18.1834595
1813,17.5926565
3266,15.4515368
1733,15.6102674
2946,13.0575094
2823,20.7013549
600,16.0294461
3831,21.4748384
2134,19.6399519
1038,17.8008642
783,22.1049179
1268,24.3292448
3655,21.2014246
1336,17.2058982
778,18.1649116
984,19.9616251
2815,12.4226814
3408,19.8942718
745,19.8345625
2655,14.081782
1763,21.6386467
2234,19.819455
1171,18.7133613
1571,18.6866398
1299,21.1316081
847,17.7734685
3652,12.3243877
3500,18.2162575
1328,21.4016828
1490,19.4090107
82,17.1385473
746,21.2336793
1989,20.0149472
2754,20.7003656
995,18.9438367
3428,16.4965062
141,15.3196718
862,21.2008676
3036,18.3005681
1318,12.6377262
2351,19.2492219
1603,14.0642121
507,15.252277
2976,13.2286109
3176,16.9897748
1462,15.5314507
1196,12.1196417
1931,19.6897922
121,20.4708946
3007,16.4027713
3857,18.1362148
2258,21.0935807
3462,20.8776184
2070,20.3362368
206,18.247826
1503,19.3414106
1770,17.7313785
3959,12.7117721
1324,17.232322
3238,19.1433062
3375,17.9202688
1615,17.9254416
3691,18.8129824
269,22.5540513
3893,20.9765515
3843,23.2401222
850,20.0483536
135,18.9711372
2716,15.6553897
849,22.5504995
3333,19.5189961
820,16.338861
886,19.4508865
2174,20.247561
414,20.9481767
2992,20.1852084
1431,15.1529336
1523,16.9578008
743,18.6932751
476,19.6778936
3748,20.5102981
456,19.373117
3322,18.9511799
762,13.9959872
988,25.2076571
2706,18.815998
789,17.7472255
3690,20.3768839
271,15.4782037
1895,16.5362946
2616,12.8843761
2613,19.5354368
1953,17.360817
3666,21.2526655
3593,19.7507689
672,21.303161
1540,21.0777101
655,18.4722351
3321,18.6637091
2677,16.0290738
1493,16.9620295
2559,17.501351
700,21.491651
3924,21.5481683
2331,20.6360986
590,23.5546327
3097,18.8739817
2702,17.3859043
314,19.8130675
119,20.402633
1916,15.8388927
1560,16.8521465
1948,19.4332352
1396,24.2412155
3851,18.8566212
1835,20.7757154
3786,20.9801808
1197,18.6933917
2372,16.4425213
942,18.9728879
3621,15.0565657
3081,13.2574792
1182,15.1369175
831,17.9785237
215,14.3555031
3513,16.0771479
392,18.355121
27,16.3965893
2408,19.7256882
752,17.8293062
478,21.3947185
1867,20.0586178
2741,16.3141178
3855,18.5563519
909,19.4409155
2019,20.9289296
3400,20.9954033
3228,20.2364649
619,23.4116605
1387,17.6321201
3407,13.2960262
2443,17.9070169
1761,17.042519
2240,19.6748839
1382,20.4123965
132,17.9901812
283,19.9992821
2275,20.8588978
563,21.0564999
1519,23.1045848
921,20.3715647
3145,14.8978247
969,21.0158932
1212,19.1018168
394,17.9576879
913,17.8996654
1670,20.3448748
3698,12.9006056
2016,19.2577117
2790,19.5886694
3005,18.3625948
723,17.8871468
2777,17.7770989
2650,20.3647663
3975,17.6400091
2189,16.1153117
1027,16.4949928
597,15.3839563
1338,21.0718721
3977,14.8265713
1061,16.0954699
1449,19.5479391
997,14.3120973
3515,18.488294
3164,22.6207806
3562,19.3270424
3328,16.4152674
3053,17.8756947
653,15.9475097
2102,16.0655713
1467,20.6930269
3759,19.3127017
3082,15.0622359
1564,18.4542112
3801,18.8943549
2429,13.9099526
667,18.4305944
3684,19.0519857
878,17.2642967
241,19.4118463
1255,19.1793935
340,16.1983816
2131,21.4770354
2560,19.3133757
1555,17.4217016
1798,17.6905257
3600,21.8784692
2568,14.2445039
2155,18.1485263
2666,17.5788899
1602,20.4257971
2892,18.3576076
518,20.1294444
2653,20.584006
2875,14.9131161
3581,13.8268194
766,17.8368054
3658,14.8466089
1168,20.823839
474,14.5067518
3588,20.3878439
906,13.0577946
2430,20.5745511
3552,15.7856885
3711,22.0274082
838,16.9667389
268,17.4333118
1049,18.1282104
1649,22.7021534
3427,16.6602309
2861,17.387584
107,16.7832746
