,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,ssd,Chain stay position on BB,SSTopZOFFSET,MATERIAL,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,Fork type,Stem kind,Display AEROBARS,Handlebar style,Head tube type,BB length,Head tube diameter,Wheel cut,Seat tube diameter,bottle SEATTUBE0 show,bottle DOWNTUBE0 show,Front Fender include,Rear Fender include,BELTorCHAIN,Number of cogs,Number of chainrings,Display RACK,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,RIM_STYLE front,RIM_STYLE rear,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,Down tube diameter,Seatpost LENGTH,Seat tube type
1,430.0,67.0,608.3238434,73.0,135.6,45.0,588.7,72.5,659.3348047,45.0,40.0,32.5,38.45,23.35,13.0,15.0,7.0,STEEL,40.0,28.7,50.0,330.0,350.0,16.0,18.0,False,False,130.0,10.467891810660168,4.831778065041434,5.427239926323013,2.402465895930717,6.283236591281864,1.441344399947028,0.9607767138722972,689.0,67.0,689.0,67.0,0,0,False,0,1,68.0,45.0,692.0,34.0,False,False,False,False,True,9,1,False,255,0,0,SPOKED,SPOKED,1,1,80.0,80.0,298.0,768.0,34.9,300,2
2,350.0,-14.5,476.7855081,71.5,80.0,45.0,265.0,71.5,572.2433386,45.0,40.0,29.2,36.5,22.0,18.5,15.0,8.0,ALUMINIUM,23.3,39.1,23.1,330.0,350.0,16.0,18.0,False,False,135.0,10.963969606253281,6.351468458704906,9.324432102015605,2.8262372918861685,1.5262962561467797,4.065682793503756,4.669883306559733,611.0,104.0,611.0,104.0,1,0,False,1,1,68.0,45.0,692.0,31.8,False,False,False,False,True,0,0,False,204,204,204,SPOKED,SPOKED,1,1,80.0,80.0,240.0,330.0,40.0,100,1
3,415.0,4.0,578.3165807,72.0,198.8,45.0,562.0,74.0,647.0851919,35.0,38.1,28.6,34.0,18.75,11.5,14.0,25.0,STEEL,36.5,45.9,35.9,330.0,350.0,16.0,18.0,False,False,135.0,1.587836434370341,0.7087842880814218,1.2215881739538883,0.8628887247429837,3.1485880279991614,0.48871247178943916,0.608115860139317,628.0,69.0,628.0,69.0,0,0,False,1,1,68.0,36.4,692.0,28.6,False,False,False,False,True,0,0,False,51,51,255,SPOKED,SPOKED,1,1,80.0,80.0,278.0,763.0,35.0,300,1
4,375.0,50.0,480.2548855,70.5,91.8,40.0,460.0,73.5,570.8806826,45.0,38.1,25.4,34.0,17.35,10.5,15.0,10.6,STEEL,29.1,19.0,33.9,330.0,350.0,16.0,18.0,False,False,130.0,45.19278945994332,5.568930497319498,12.10490998463727,10.8333334055091,16.77283472361858,14.427845228877285,4.139345648408011,623.0,52.0,623.0,52.0,0,0,False,0,1,68.0,31.7,692.0,28.6,False,False,False,False,True,9,1,False,255,255,255,SPOKED,SPOKED,1,1,80.0,80.0,298.0,600.0,28.6,140,1
5,431.79,24.0,504.2074651,72.1,83.1,41.0,300.0,72.5,635.5497121,45.0,40.0,29.2,36.5,22.0,16.0,15.0,8.0,STEEL,20.2,36.4,54.3,330.0,350.0,16.0,18.0,False,False,135.0,10.276302519525084,2.2853553710864163,0.7214435797453422,1.4668033360674502,3.819095873253498,1.1763982068014596,6.659066369989884,670.0,111.0,670.0,111.0,1,0,False,1,1,68.0,50.0,692.0,31.8,False,False,False,False,True,0,0,False,0,102,204,SPOKED,SPOKED,1,1,80.0,80.0,210.0,350.0,45.0,250,2
6,311.9,17.0,428.8773365,80.6,90.0,45.0,315.0,71.6,601.0916576,15.0,40.0,29.2,36.5,27.0,18.5,125.0,8.0,OTHER,20.1,50.1,25.0,330.0,350.0,16.0,18.0,False,False,120.0,13.512139398209234,4.566773349338293,3.117775286455307,1.0777731910945973,3.335550534318817,1.0579412094558747,4.071474070112279,486.0,80.0,486.0,80.0,0,0,False,1,1,68.0,45.0,692.0,31.8,False,False,False,False,True,0,0,False,0,255,102,SPOKED,SPOKED,3,3,40.0,40.0,240.0,350.0,50.0,300,1
7,425.0,29.86302493,589.4584373,69.53483638,165.0,65.0,535.0,72.03483638,687.3768542,45.0,37.5,30.2,43.45,25.0,18.5,15.0,11.2,ALUMINIUM,28.5,50.0,50.0,330.0,350.0,16.0,18.0,False,False,135.0,11.207211135166462,1.1576538213180025,5.094723665444381,10.184467489606822,19.596220555153117,2.5415403130985412,9.22974329676632,670.0,111.0,670.0,111.0,1,0,False,1,1,100.0,40.0,692.0,35.0,False,False,False,False,True,8,2,False,204,0,0,SPOKED,SPOKED,1,1,80.0,80.0,278.0,755.0,45.0,400,2
8,425.0,43.0,551.0911008,70.0,123.6,77.0,520.0,73.0,701.9618581,25.0,35.0,42.0,44.95,23.35,18.5,15.0,11.2,ALUMINIUM,27.0,62.0,70.0,330.0,350.0,16.0,18.0,False,False,135.0,6.562482281914046,6.057288415276557,0.6004181414085338,2.7555653403587708,2.077422728905909,1.3798961346439302,2.394396626109039,699.0,115.0,699.0,115.0,1,0,False,1,1,100.0,45.0,692.0,35.0,False,False,False,False,True,9,2,False,0,0,0,SPOKED,SPOKED,1,1,80.0,80.0,278.0,753.0,45.0,400,2
9,450.0,73.5,621.2450604,73.0,150.0,40.0,524.4,74.0,655.1348987,65.0,38.1,28.6,34.0,17.35,10.5,15.0,10.6,STEEL,28.1,34.4,39.1,330.0,350.0,16.0,18.0,False,False,130.0,0.7137377761989186,1.374305166978462,1.091518589141951,0.1664994142488439,0.39075565156114966,0.12399090461841472,0.7351986646169683,680.0,58.0,680.0,58.0,0,0,False,0,1,68.0,31.8,692.0,28.6,True,True,False,False,True,9,2,True,102,102,102,SPOKED,SPOKED,1,1,80.0,80.0,278.0,718.0,31.8,180,1
10,443.0,41.0,529.7238253,72.0,105.0,55.0,457.0,73.0,673.8542299,50.0,40.0,32.7,36.5,22.0,17.0,15.0,8.0,TITANIUM,25.9,74.2,68.1,330.0,350.0,16.0,18.0,False,False,135.0,1.9212289659300794,0.3466212367279846,0.8592707104219527,0.45219293870139776,0.46678795194266454,0.6867495012162798,0.5838397515843876,745.0,118.0,740.0,123.0,1,0,False,1,1,68.0,40.0,692.0,31.8,False,False,False,False,True,8,0,False,153,153,153,SPOKED,SPOKED,1,1,80.0,80.0,298.0,830.0,50.0,300,2
11,480.0,105.0,619.4112496,75.0,103.8,55.0,562.0,75.0,702.1160824,45.0,33.0,29.2,34.0,22.2,22.2,14.0,25.0,STEEL,33.6,43.4,43.7,330.0,350.0,16.0,18.0,False,False,135.0,6.367101589584672,3.622776494927379,2.0271911657856974,2.1418797848345865,6.013586780154262,0.7582852879166379,2.203882387001642,750.0,191.0,750.0,191.0,1,0,False,1,1,68.0,33.0,692.0,27.5,False,False,False,False,True,0,0,False,0,0,0,SPOKED,SPOKED,1,1,80.0,80.0,278.0,785.0,33.0,400,1
12,444.0,57.5,531.7876057,71.0,105.4,55.0,457.0,73.0,670.2014001,50.0,40.0,30.15,36.5,22.0,17.0,15.0,8.0,TITANIUM,24.2,70.9,50.0,330.0,350.0,16.0,18.0,False,False,135.0,0.9231688216105877,0.8728832145781724,0.28753145977684696,0.30934913414303034,1.2464838331202581,0.20975240264354833,0.24682868936634533,745.0,123.0,745.0,123.0,1,0,False,1,1,68.0,50.0,692.0,31.8,False,False,False,False,True,8,0,False,153,153,153,SPOKED,SPOKED,1,1,80.0,80.0,298.0,830.0,40.0,300,2
13,430.0,67.0,613.0097367,73.0,150.2,45.0,588.7,72.5,653.6824691,45.0,40.0,32.5,38.45,23.35,13.0,15.0,7.0,STEEL,50.0,28.7,50.0,330.0,350.0,16.0,18.0,False,False,130.0,13.715443461972853,2.617366614170375,1.9007115647015858,2.6186594589637893,1.1767394222348542,2.8599648131762034,2.311053140635569,689.0,67.0,689.0,67.0,0,0,False,0,1,68.0,45.0,692.0,34.0,False,False,False,False,True,9,1,False,153,0,0,SPOKED,SPOKED,1,1,80.0,80.0,298.0,768.0,34.9,300,2
14,409.43,72.0,616.1798724,72.5,167.7,45.0,610.0,73.5,666.5549746,45.0,40.0,28.6,51.05,23.35,13.0,15.0,7.0,ALUMINIUM,33.2,28.6,51.2,330.0,350.0,16.0,18.0,False,False,130.0,5.908106892954777,2.84252157023977,5.015173260747611,3.654294594078396,1.8027509007582647,2.029590177658562,1.9005419400941967,674.0,52.0,674.0,52.0,0,0,False,0,1,68.0,45.0,692.0,33.4,False,False,False,False,True,9,1,False,0,0,0,SPOKED,SPOKED,1,1,80.0,80.0,298.0,807.0,34.9,300,2
15,387.57,50.0,441.2600684,72.0,49.0,40.0,480.0,73.5,581.6047005,60.0,38.1,25.4,34.0,17.35,10.5,15.0,10.6,STEEL,28.5,19.0,35.0,330.0,350.0,16.0,18.0,False,False,130.0,14.587930037023698,0.9454367728324202,3.601182392968324,5.832957051636668,7.7746892534994485,0.7124724955696041,1.083746861123344,640.0,40.0,640.0,40.0,0,0,False,0,1,68.0,28.6,692.0,28.6,False,False,False,False,True,9,1,False,102,0,0,SPOKED,SPOKED,1,1,80.0,80.0,298.0,605.0,28.6,140,1
16,425.0,20.0,547.7356006,68.0,136.0,45.0,480.0,72.0,657.7868168,45.0,30.0,27.7,36.5,23.35,18.5,15.0,11.2,TITANIUM,40.0,50.0,40.0,330.0,350.0,16.0,18.0,False,False,135.0,12.666967790310977,1.8427765582107236,5.723528702384768,7.8434205840683395,3.3874149014317183,6.452480989158503,1.0210666391244185,670.0,111.0,670.0,111.0,1,0,False,1,1,100.0,40.0,692.0,30.0,False,False,False,False,True,8,1,False,204,204,204,SPOKED,SPOKED,1,1,80.0,80.0,278.0,755.0,30.0,300,1
17,355.0,25.0,545.1114389,75.0,139.4,45.0,482.8,74.0,620.1947099,20.0,38.1,25.4,34.0,18.75,13.0,14.0,25.0,STEEL,32.5,37.8,32.9,330.0,350.0,16.0,18.0,False,False,120.0,5.304294588638676,1.4779274348742488,0.9521251878437933,1.4033816519775153,0.816782849759151,0.332511815017859,0.8136416973980656,670.0,111.0,670.0,111.0,0,0,False,1,1,68.0,33.0,692.0,28.6,False,False,False,False,True,0,0,False,0,0,0,SPOKED,SPOKED,1,1,80.0,80.0,278.0,733.0,28.6,270,1
18,450.0,55.0,566.7933745,70.5,111.0,45.0,482.6,74.5,703.2158358,45.0,40.0,29.2,36.5,22.0,17.0,15.0,8.0,STEEL,26.8,50.4,50.9,330.0,350.0,16.0,18.0,False,False,135.0,3.717442960371793,2.7968622053713545,5.35141720064817,1.133485793610664,4.652726891993452,3.327790419418806,9.948735312849887,670.0,111.0,670.0,111.0,1,0,False,1,1,68.0,45.0,692.0,31.8,False,True,False,False,True,6,2,False,102,102,0,SPOKED,SPOKED,1,1,80.0,80.0,278.0,718.0,40.0,330,1
19,400.0,70.5,570.1453041,75.0,125.0,380.0,690.0,75.0,665.0348219,40.0,90.0,27.5,36.5,46.0,13.0,15.0,7.0,CARBON,20.1,265.0,44.2,330.0,350.0,16.0,18.0,False,False,130.0,3.009734452270179,2.2328849701498634,1.7146729787810218,0.6576066667654422,0.6434891765120105,2.4075578726545124,1.0761151469001953,674.0,49.0,671.0,52.0,0,0,False,0,0,68.0,55.0,692.0,31.8,False,False,False,False,True,9,1,False,255,255,255,SPOKED,SPOKED,1,1,80.0,80.0,298.0,724.0,34.9,300,0
20,355.0,14.0,545.1853645,75.0,143.1,380.0,482.8,74.0,618.3189229,20.0,38.1,25.4,34.0,18.75,13.0,14.0,25.0,STEEL,32.5,37.8,32.8,330.0,350.0,16.0,18.0,False,False,120.0,5.391251085088038,5.267682569675914,2.4150152801142295,0.8163025712784145,2.9605948335718546,1.4542324127265707,3.917907402610442,643.0,69.0,628.0,84.0,0,0,False,1,1,68.0,33.0,692.0,28.6,False,False,False,False,True,0,0,False,0,0,0,SPOKED,SPOKED,1,1,80.0,80.0,278.0,733.0,28.6,270,1
21,442.44,77.0,655.7609373,71.5,200.0,65.0,640.8,73.0,644.2629076,52.0,38.1,27.0,34.0,21.25,10.9,16.0,10.6,STEEL,39.9,40.8,43.4,330.0,350.0,16.0,18.0,False,False,130.0,5.228550067406103,1.0426052705242848,1.0750558261325904,3.4575261970879256,5.430070742008462,0.4536155752033304,1.611193051651201,689.0,67.0,689.0,67.0,0,0,False,1,1,68.0,31.8,692.0,28.6,True,True,False,False,True,9,0,True,0,153,153,SPOKED,SPOKED,1,1,80.0,80.0,278.0,712.0,31.8,300,1
