,SSB_Include,CSB_Include,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,batch
11190,1,1,Titanium,0.337165,-0.023135,0.58757,0.175451,68.99632253478741,0.04585,0.0377,0.03629,0.04894,0.019217,0.016631,0.034767,0.01145,0.068278,0.166166,0.042568,71.80022,0.09195,0.649743,0.08854,0.137642,0.015368,0.01573,0.33,0.349621,0.007814,0.002816,0.001738,0.000855,0.00576,0.003165,0.001088,0.003992,0.568145,Generated 37
3586,1,1,Steel,0.43243,0.04,0.5941,0.08,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0413,0.0793,0.0197,66.0,0.105,0.385,0.068,0.17,0.016,0.018,0.33,0.35,0.009,0.00367,0.000784,0.001954,0.001109,0.0054,0.003374,0.007705,0.686571,2_7
3523,1,1,Titanium,0.445,0.070012,0.6444,0.068,73.00158400164943,0.04,0.0286,0.066,0.0365,0.0255,0.019,0.0349,0.012,0.0384,0.04745,0.031,71.0016,0.14,0.533,0.073,0.142,0.019,0.019,0.395,0.395,0.0075,0.002872,0.003792,0.001215,0.009754,0.002063,0.004115,0.002547,0.714476,3_2
5114,1,1,Titanium,0.41934,0.06023,0.59149,0.045,74.70685,0.04,0.0286,0.04732,0.0365,0.024508,0.015461,0.032727,0.015,0.043214,0.077286,0.029192,71.40736,0.16165,0.56142,0.068,0.131448,0.016,0.018,0.33,0.35,0.009,0.006352,0.002002,0.001996,0.003531,0.004631,0.005464,0.00344,0.681195,Generated 4
2334,1,1,Titanium,0.44,0.05,0.5656,0.045,75.00000349528622,0.046,0.0286,0.045,0.03905,0.025,0.019,0.04,0.015,0.0486,0.0453,0.0367,75.0,0.146,0.58,0.068,0.13,0.02,0.018,0.33,0.35,0.009,0.009027,0.001506,0.006354,0.00054747,0.001569,0.002153,0.002128,0.661613,2_2
7143,1,1,Aluminum,0.441027,0.006992,0.56599,0.063186,70.97612090008245,0.0407,0.03044,0.04517,0.03654,0.02409,0.015415,0.033286,0.01544,0.039859,0.053441,0.034746,72.88297,0.11953,0.365081,0.06767,0.129643,0.015297,0.017587,0.329718,0.301285,0.011426,0.003287,0.006103,0.007789,0.00076621,0.002598,0.00303,0.002741,0.629166,Generated 15
487,0,0,Steel,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0158489361702121,0.0177589703095392,0.33,0.3,0.009,0.001183,0.001019,0.00079,0.003018,0.003009,0.005036,0.009363,0.653639,1_3
3485,1,1,Steel,0.44,0.065,0.6486,0.04,72.0,0.04,0.03025,0.039,0.03625,0.0216,0.0118,0.0286,0.01,0.051,0.0342,0.031,72.0,0.2,0.58,0.068,0.135,0.014,0.018,0.37,0.372,0.003,0.008583,0.000502,0.006762,0.00086094,0.006194,0.004136,0.002575,0.664553,2_7
2600,1,1,Titanium,0.38,0.001482,0.5656,0.045,72.39726,0.04,0.0286,0.05,0.0365,0.02335,0.013,0.0318,0.015,0.0461,0.0416,0.0492,73.99726,0.1171,0.284,0.073,0.135,0.016,0.018,0.33,0.35,0.009,0.003488,0.006717,0.004619,0.001033,0.001189,0.002634,0.001134,0.596625,2_3
10500,0,0,Steel,0.390622,0.018894,0.5656,0.062873,72.72335569633388,0.04,0.02787,0.04989,0.0365,0.021321,0.0165,0.031715,0.015,0.050128,0.043341,0.028368,69.70205,0.11276,0.384556,0.068,0.13,0.0112947552083332,0.0126413872420262,0.33,0.325533,0.009,0.00238,0.005783,0.001292,0.003754,0.001479,0.002,0.009012,0.633198,Generated 34
3291,1,1,Steel,0.41,0.07,0.5656,0.045,74.0000202554444,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0509,0.037,0.0385,73.0,0.155,0.597,0.068,0.126,0.016,0.018,0.33,0.35,0.009,0.004357,0.00179,0.003214,0.001556,0.008196,0.002603,0.004061,0.662888,2_6
11324,0,1,Steel,0.345295,-0.024512,0.63462,0.029269,69.11647178442634,0.04607,0.03561,0.04192,0.05072,0.023085,0.018367,0.028235,0.01397,0.066668,0.04734,0.022753,64.68144,0.21835,0.61777,0.07029,0.128624,0.0112947552083332,0.017649,0.33,0.326209,0.011708,0.003315,0.008435,0.008875,0.00687,0.00438,0.001035,0.002012,0.532528,Generated 37
6078,1,1,Steel,0.436513,0.087568,0.56864,0.051589,73.30158470317993,0.04015,0.02914,0.04561,0.03925,0.023553,0.013957,0.031675,0.01488,0.047949,0.047983,0.030587,71.58862,0.13427,0.497449,0.0685,0.137786,0.006499,0.007523,0.330057,0.351507,0.008941,0.002701,0.002553,0.004307,0.002256,0.003499,0.003713,0.00537,0.709453,Generated 10
