,Mass,Planar Compliance,Transverse Compliance,Eccentric Compliance,Planar Safety Factor,Eccentric Safety Factor
11190,3.26,0.11998937326585929,0.6019738872148763,0.2705546617258488,2.4,12.46
3586,7.32,0.21422137526992685,0.8182303756761544,0.5608759790685484,1.698,1.104
3523,4.41,2.25163064478531,1.016211667929437,1.1619651415997612,0.6702,1.908
5114,4.87,1.7928959002805258,1.0335177249445842,1.141830546939589,0.7389,2.031
2334,4.65,0.5189377368622838,1.5340088938226382,1.593069323116116,2.751,1.598
7143,2.84,0.5829488276861371,1.5083959294402203,1.4811076958294245,1.093,0.6426
487,6.09,0.727493718971275,0.6210797741595988,0.536354969321527,0.4883,1.354
3485,7.24,0.7309168645923314,1.5270864710165792,0.9110681301563687,0.4487,0.6796
2600,3.05,0.5086222088332167,0.9345270788179428,1.0192458006508405,2.319,2.304
10500,7.46,0.1740282718772401,0.3848174837888107,0.3484773023864682,1.674,1.577
3291,7.62,0.8461417051403886,0.6110422610908135,0.5997106050956653,0.4427,1.224
11324,8.54,0.04394389352898381,0.2092648414271586,0.135395138895415,3.912,5.962
6078,8.6,0.7000722827129118,0.5420949299424674,0.49282423987320867,0.556,1.527
5864,2.03,0.6993412273937032,1.4107897678747907,1.5211686837762493,0.9246,0.8067
13906,3.32,0.3657450540431882,0.3382988025320953,0.30453096382105055,0.4243,2.371
3679,3.46,1.489657273990094,1.0535927510821548,1.1386908660696038,0.3163,0.8277
14836,1.03,1.1463858235265634,4.08146048645229,2.195494946051972,0.363,0.5645
5354,8.97,0.6035812840916486,0.6473849808226223,0.606837987025861,0.5513,0.7858
8640,3.02,0.5026509595464936,0.5405719969251345,1.1367348427273714,1.547,1.487
4168,1.54,1.3030855125367324,1.1248937059845607,2.3401233583981487,0.4694,0.3915
10040,1.95,6.05944086990729,2.4477687042224043,3.897556681911277,0.1627,0.4334
9944,6.86,0.9788401164130035,0.7891561998907073,0.5886238985654606,0.428,1.3
5095,5.1,0.2981829027888251,0.9476796821494546,0.774892567731095,1.219,1.104
7996,3.06,0.2574870055454799,0.6912039171849748,0.5216880502671201,2.232,2.677
4612,1.95,3.099048393625914,2.801504509612011,2.1248056169209413,0.5225,1.542
2472,5.48,1.0251771428766163,0.5564243451510092,0.6997650186413372,0.3855,1.052
10508,5.93,0.14120540123933228,0.49204581305466205,0.32009931848104206,1.673,2.024
13844,2.29,0.428972939423083,0.6477311019629253,0.6093271147721155,1.042,1.297
4661,2.75,0.4953900079421174,1.2238843521112022,1.291065804178587,1.619,2.117
10526,1.97,3.6733499907284126,1.9299714783292035,2.113512529113186,0.195,0.5644
11577,9.02,0.09281494426112771,0.2140413131633392,0.11219423543720643,2.08,3.512
338,4.49,0.3454609784324168,0.8957615111040134,0.9703408318273259,0.97,0.7898
13178,7.16,0.5473348564721192,0.2912263274508952,0.3702102070762603,0.7166,1.976
4070,1.44,5.003745223320049,4.06969236768199,3.557747082545705,0.1784,0.4891
5909,9.33,0.0743888850239028,0.14474786087469024,0.1660565812081375,2.947,2.652
3017,2.43,1.1325549727983446,1.3166448177123906,0.9935384963665408,1.112,3.34
2786,5.82,1.284658396978875,1.0549772356433667,0.9125516983266528,0.2828,0.932
7170,2.56,2.064686868974782,1.5125493831238555,1.2612167832222627,0.2833,0.8462
2052,5.95,0.24868547484610817,0.28139648706629167,0.34571587011151206,1.254,1.468
6718,5.34,0.7908596807386076,0.7109328221822424,0.7339826495460471,0.4344,0.7457
6711,2.83,0.46697155575192173,1.0785134731839665,1.1323892886528952,2.512,2.061
5563,5.08,0.3919487490587816,0.7413914825289012,0.9905039193657457,2.91,2.103
11103,10.01,0.034492635710855146,0.13235672405184495,0.06497777628328108,2.145,6.171
2943,3.15,4.192450185768131,1.0522082665209431,2.169444512506527,0.3816,1.058
14417,7.53,0.30007331935151016,0.8244605562016073,0.7612037418404478,1.423,1.14
4708,4.06,2.897847570068859,1.278571492279067,1.6269186926700896,0.448,1.145
7121,6.14,1.3319861093082617,0.8805321809306839,0.9941196723160364,0.3112,0.8998
13136,4.72,0.24952291785831965,0.5693000515702786,0.677847901783527,0.7123,1.037
9976,5.92,0.5800963908274176,1.176811877030002,0.9349030929207975,0.907,0.767
8710,10.64,0.2238201908672055,0.18122902906262034,0.17078040270326178,1.262,2.738
5628,8.44,0.15788039282715924,0.4739090653027879,0.34705431359740957,2.141,2.032
12051,2.38,0.5057992688911308,1.0972040147603255,1.0751741438522173,1.092,0.9757
11813,2.87,0.34082626624420337,0.8424588554973603,0.7360570549396006,2.85,2.936
12419,6.96,0.14037944658796775,0.44005841778116017,0.36040052445355,2.156,2.053
4761,5.25,0.5701612408712933,1.4897053878638613,1.7912345881337857,0.5342,0.3179
6113,8.15,0.7146250805050283,0.6317403052809293,0.5186383284210266,0.5443,1.413
5890,9.45,0.11235529603569923,0.22996288561727452,0.24405425560878402,2.345,2.045
11558,4.42,0.30144949726624154,0.31476256499149524,0.1888738314653126,1.944,7.877
11027,6.55,0.06398166863049522,0.2891496006090776,0.19480607216966128,1.651,4.581
6879,7.77,0.5771177398185053,0.4412352296581902,0.42456065911238716,0.5937,1.672
3020,3.95,2.1272051448405715,1.3761776538444968,1.6941213619255469,0.7238,1.36
2421,7.21,2.1294242448155134,0.7697734160337425,1.1451838196202182,0.1801,0.4849
10486,3.78,0.33077073385413674,0.9795228270573253,1.0503211369596528,2.847,1.917
4741,2.16,0.32337331722897267,1.0508237819597313,0.7282675220978996,1.214,0.625
6525,4.59,0.6551661586160437,0.7815415348040425,0.5010319955579416,0.4873,1.468
11730,14.43,0.9351346015675688,1.0383634209088253,0.676231786615435,0.496,1.532
2168,7.34,1.107708724227239,1.1865032689584845,1.007339496957818,0.4547,0.507
7541,6.14,0.15267271934565801,0.4309208196771625,0.40591847698271477,1.847,1.539
11859,5.96,0.20638807911738366,0.541818033030225,0.4571719991080523,1.586,1.48
5480,4.15,1.22795785595512,1.1678127273821255,0.877676373615945,1.038,2.994
1573,2.95,0.49268226656474406,2.437385070013316,4.873066493423952,1.394,1.002
1593,5.64,0.3141778766240769,0.5627237499045228,1.2853212970877999,0.8605,1.422
4627,5.69,1.045078594147193,0.8362286749719074,0.6278402736779036,0.3687,1.102
2379,0.88,0.3290873782062962,1.1975791454481786,2.2481403736457795,0.1484,0.4536
7956,7.17,0.2107420039538573,0.14350182476959966,0.09534143153124305,0.7571,2.197
6476,4.52,0.35013897460248977,0.6700213033984348,0.8691660237119139,0.1865,0.7929
10125,7.79,0.23992746106982163,0.6790896772743719,0.5023517704246112,1.525,1.543
13322,6.15,0.17562866696426382,0.30943229943082995,0.37991751597376666,1.993,1.699
9063,5.96,1.3106725813362243,0.7476216630543543,0.799185797437372,0.3013,0.8518
7386,6.01,0.8398507462362819,0.5671541005004004,0.585787698679157,0.3759,1.26
9271,4.04,0.5861101947124623,1.3152603331511787,1.233036382801411,1.849,1.607
5943,7.32,0.1623613912392125,0.3585122771257871,0.34835894361876774,2.036,1.762
11292,3.91,0.48852200987546435,0.5657696159391886,0.997629551050786,1.017,0.9083
10688,5.29,0.9249169050351238,0.7109328221822424,0.6874528835230291,0.3909,1.026
10188,6.27,0.7638327732435465,0.6798511437830383,0.5610815667161475,0.4654,1.32
1466,4.15,3.08304740763123,1.0522082665209431,1.8263956818241645,0.2,0.492
9334,4.07,0.6389082352368218,1.289647368768761,1.2984806820500028,1.874,1.617
14679,2.0,2.171189613141612,1.5111648985626438,1.6096985659978582,0.315,0.8225
8108,10.48,0.07033259797820852,0.35304356310900065,0.17210922955171173,3.207,2.86
369,4.8,0.13565343584986042,0.5385644943113774,0.3836551747492608,0.9866,1.719
1376,7.38,1.3114508794768038,0.7476216630543543,1.0973502637729862,0.233,0.636
3964,7.36,0.6384108690395411,0.525342666751805,0.42216319406793945,0.4589,1.36
10739,4.28,1.6557641932085583,0.9407572593433957,1.0705332060915305,0.8067,2.22
12035,2.83,1.2756595008515177,0.8459200669003897,0.7595270938583301,0.8365,2.542
2270,4.32,1.4224663064585883,0.8043855300640368,0.9505497855332794,0.3156,0.8293
12825,5.83,0.16390490303907043,0.34411363768918474,0.3102594160185352,1.621,1.747
11854,3.44,0.18046919135678202,0.6196260653703264,0.623140240751815,2.942,2.342
2070,4.88,1.4622678019259554,0.7836182616458602,0.9371599602371934,0.3186,0.9035
10855,2.11,1.9486207955171064,2.265016742142451,1.8211333843135131,0.3471,0.9359
1516,7.8,0.2000820929440224,0.49079977694957144,0.47013912117197876,1.68,1.54
6039,9.79,0.3939789862786722,0.48733856554654204,0.49964375356502766,0.9632,1.066
10734,5.55,0.3147494317474112,0.5796144615513064,0.8679993544090749,1.447,0.988
8887,4.46,2.227200553683213,1.064668627571849,1.2833359406701483,0.5768,1.613
2828,8.45,0.8915932877802195,0.4151376956793484,0.5043576854082998,0.3891,1.127
6893,5.9,1.25068121749155,0.743468209370719,0.731001418109805,0.9231,2.711
7404,2.34,0.4865015185229962,0.5870214539537892,0.7277620936585749,0.9426,1.018
9510,9.28,0.45371259128449426,0.4910074496337532,0.40379957038484526,0.5418,1.41
11548,8.35,0.09455312715495877,0.29704116260798463,0.24808249071722602,7.296,7.347
14583,4.42,1.417591117935343,1.0985884993215373,0.9727970328734381,0.2833,0.8474
7106,5.88,2.1588313486099064,2.420771255278775,1.8420761180503666,0.2613,0.6743
8564,2.95,0.5394075076370739,0.5380799247149533,1.2369351978710004,1.444,1.407
1242,2.09,0.563507393347711,1.5153183522462792,1.3694718350540205,0.7367,0.6975
12577,7.31,0.1024693899507875,0.34750562486415354,0.29353057612274036,2.493,1.825
14644,5.16,2.311283958385939,1.4121742524360026,1.5502515229851292,0.2345,0.6336
8578,3.03,0.49617887643867936,0.5424410510827703,1.1165504262765706,1.788,1.497
6529,5.32,2.0417488323412343,0.7926174112937366,1.057235953545242,0.2036,0.5911
6798,8.48,1.4528973967003889,0.5899980957603945,1.0114279146325376,0.3209,0.8099
10933,4.62,0.30460083834912133,0.6038429413725123,0.7219036616219958,2.542,2.606
8330,2.78,2.451836225670104,3.291612044280976,2.8897238685285336,0.4103,0.7711
7476,2.77,4.409784430582242,2.0303466090170565,2.927732853027437,0.1782,0.4665
2697,4.44,2.0033977381565613,1.188579995800302,1.2328771164541241,0.7187,2.066
5357,8.64,0.7248413691360376,0.7130095490240601,0.5772008076350112,0.4878,1.302
12954,2.29,0.47447466736405763,0.9871374921439899,0.973961951931122,1.151,0.7016
7029,6.11,0.841505900998404,0.35062071512688003,0.6017396458041034,0.4084,1.053
3856,3.51,3.0885126650866197,1.8607472502686149,2.013244547040477,0.4862,1.285
11995,2.02,0.5062466310123296,1.0439013591536723,1.0891824590526356,1.078,0.9802
5342,5.54,0.9292137601112609,0.8611493970737192,0.7319207054210737,1.218,3.363
11965,1.97,0.554841679785327,1.0978962570409314,1.130265014901493,0.9574,0.9081
989,5.23,0.21912467938087712,0.3747107464919648,0.5507237279785371,1.618,1.175
4626,6.3,1.600581726071434,0.886070119175531,0.9965251880907484,0.2969,0.7209
2954,3.97,1.665665611630688,0.998213368633684,1.1961800889277323,0.5706,2.117
4855,4.99,0.6273165069572878,1.1851187843972726,0.5749305690020725,0.4885,1.469
12768,7.75,0.15826329376113615,0.4339666857118284,0.35645905155920465,1.881,1.697
5438,4.42,0.8073825704547803,0.7469294207737485,0.6192952002613485,1.348,3.806
1556,3.88,0.18708580889281445,0.8639183661961427,2.0362062178234304,0.7035,0.2514
8212,3.24,1.9153284951912073,1.1733506656269725,1.1883318433679801,0.6346,2.037
1665,2.48,0.5122792023523647,1.945893050783139,3.721244127909315,0.9373,0.1578
2157,4.85,1.3448052774806054,0.8625338816349308,0.8620243837007843,0.3175,0.7157
2464,1.63,0.598729334361371,0.7441604516513248,1.2067293037992208,0.7547,0.6365
10489,3.83,0.22931088332549054,0.6903040022201871,0.4941528591000939,3.198,3.709
4711,6.21,0.4442818640476345,0.7033181570955777,0.760187447957467,0.9226,0.8912
13943,2.04,0.475649367268853,0.8992227225070428,0.814549427930542,0.9248,1.282
13542,10.44,0.17803502001071286,0.6374859162099582,0.3841455514777137,1.746,1.572
1811,1.73,3.113744380089136,2.0130405520019092,2.03575954866937,0.2102,0.5938
11222,3.79,0.4797896215156594,0.6104192430382681,1.01169394195973,1.034,0.94
14660,3.55,2.7949515371873996,0.9116830835579487,1.6679442860460572,0.5599,1.558
9017,1.47,3.066318064825813,1.9292792360485975,1.989145283910398,0.2439,0.6859
9432,3.39,0.74696030661449,1.8510558583401329,1.8959058803838045,1.236,0.7675
8196,3.22,4.891534830208569,7.718501428755602,3.2219066553227753,0.1385,0.4556
13993,5.84,0.20196773458757514,0.484984941792482,0.4716795819643458,1.604,1.388
6647,4.6,0.9662178212302972,0.9137598103997663,0.6395240946328664,0.4153,1.314
4019,7.21,0.22950565520834898,0.5255503394359868,0.4884226566574408,1.106,1.17
14670,8.2,1.6426046285312974,1.6316150553880677,1.0201811428554113,0.2155,0.6767
14201,8.94,0.19207143641928437,0.5568396905193728,0.455859364923643,1.93,1.599
8268,3.86,0.4273853879826059,0.5047830710178104,0.9058105458709242,1.013,0.8002
13034,3.96,0.37652515093539984,0.6347861713155952,0.6316331446811521,0.8428,0.9021
9924,7.55,0.8596697319175166,0.34473665574173,0.6394031221392404,0.497,1.29
1501,5.45,0.2982322183955103,0.8763787272470486,0.5167258263843001,2.742,2.715
9178,1.5,0.10816890513151727,0.9559865895167252,0.825898614730408,1.412,1.069
2175,2.2,0.6014819168545253,0.687465808869703,1.119235317411418,0.9337,0.8106
2876,8.03,1.7263530866862533,0.6419854910338965,0.821065553773112,0.3226,0.9344
4991,4.8,0.26881927965594754,0.45570309332285314,0.503987464259922,1.152,1.071
13415,7.84,0.07024284922207542,0.14599389697978085,0.0910777997205543,2.228,5.196
1570,2.48,3.352967482564038,1.95073874674738,2.1401124479264815,0.236,0.6425
8406,5.02,3.6331699909874806,1.111741102653049,1.88025405345391,0.1522,0.4246
10062,1.41,1.5761187446955565,2.541913654384804,3.195369042852268,0.363,0.358
4507,4.79,0.2990707634262238,0.5222968007171391,0.5290869430960663,1.064,1.05
6855,4.78,1.21800896339471,0.6728594967489189,0.8519601784042299,0.8493,2.67
13264,7.97,0.6590905592425006,0.6673215585040718,0.5148214216450512,0.6206,1.746
14339,2.14,0.40806703721323345,1.4813984804965907,0.7223307753924433,0.6456,1.503
13765,4.14,0.40858858476500426,0.6554149912776506,0.8553089939793378,3.202,2.653
5475,3.65,0.402334040798113,0.9712159196900546,1.0682879132793093,2.906,2.199
7344,7.49,0.9213251218513363,0.6295251299829905,0.6134056849041953,0.4328,0.8044
8358,3.29,0.5383953120050922,1.3187215445542082,1.034004359123441,2.075,1.985
7607,6.46,1.7427115552844712,0.6833123551860677,1.0587452844498217,0.2257,0.6037
1220,3.41,0.3817393739311042,2.216559782500039,1.5336409720062216,0.9058,0.6767
4097,2.74,0.6776709340738084,0.9968288840724724,1.256474381784355,0.8236,0.7555
8568,2.95,0.5364071284776464,0.5484635589240415,1.2198308162405427,1.607,1.432
6239,1.84,3.416338735312576,3.054865184313764,2.502605999825586,0.1489,0.4128
7019,2.45,3.0035312071488263,1.67661080362745,1.9825776791665035,0.242,0.6599
6109,9.87,0.11111940797688702,0.5553859817301005,0.3398672623339658,2.179,1.142
3013,2.26,0.4887768109798265,2.2705546803872982,1.3782980806430793,0.7238,1.087
124,3.71,1.7747188026522072,1.295877549294214,1.1307865215177404,0.7349,1.716
1417,6.97,0.7610834880105926,0.9760616156542958,0.8285568563665895,0.465,0.627
723,7.96,0.599120915336262,0.44933446434127905,0.37826224347124326,0.4172,0.423
9847,9.2,0.2358669449569072,0.4471885132714008,0.7371090056667096,2.034,1.251
5808,7.22,0.11933656605544268,0.338506475216277,0.2844827112764007,2.31,1.91
11650,2.73,0.18650188347399682,0.6053658743898451,0.3852966302246857,3.395,5.452
1194,12.4,0.1288766997065919,0.2930953816085311,0.31452217503501967,2.445,1.842
6143,7.77,0.8015612662418097,0.6704366487667982,0.5870140373152586,0.5793,1.545
14239,9.66,0.07087757402068293,0.2008887098318274,0.1512371701411676,2.743,1.897
9309,3.14,0.4832636911052379,1.0847436537094195,0.5588567393355298,0.8848,2.089
572,2.79,0.2704074189666171,0.755928570421625,0.59248525997854,1.088,0.9379
10743,3.85,0.3986625207427834,0.6892656387992783,0.815215149183184,1.635,2.487
225,3.85,2.1847890768864495,1.4419406705020557,1.4645489031551608,0.7584,2.067
13328,6.45,0.13328252712291175,0.2683823321909011,0.30070784969440556,2.425,2.093
11946,3.69,1.0469270089768041,0.695703492008913,0.6735691344409596,1.113,3.245
4792,4.08,0.4033097988181117,0.9677547082870251,0.9467658054574597,3.178,2.705
8421,2.88,0.6492124563292939,0.944910713027031,1.1238994041804546,2.096,1.958
14676,1.62,5.79003013800849,2.1417976161946037,2.7214567690459064,0.2896,0.8695
11067,10.96,0.12366198470132315,0.1527778713297185,0.10156584474442977,0.9544,3.943
10346,7.44,0.44048083845997865,0.4482268766923096,0.4032798372973736,0.6283,1.21
3735,2.11,0.8120887017768061,2.7918131176835286,1.8663549732576699,0.5484,0.6085
2369,3.75,0.1947693760564286,0.5540707213969492,0.557754126620634,1.413,0.9464
8264,6.2,0.8561789985838361,0.6585300815403771,0.6202759071510278,0.4351,1.205
1662,7.51,0.2553506590284744,0.9843685230215665,3.273807160230686,0.5863,0.2111
11480,14.96,0.051089587802137806,0.14287880671705439,0.09534508822045898,3.509,3.934
5976,3.03,0.34784311172912974,0.6478695504190465,0.7209238880639208,1.434,1.285
12240,2.45,0.4761662415158113,0.9850607653021723,1.0206679492427273,1.191,1.044
1656,3.88,0.15780763242698279,0.7413914825289012,1.4564727844202379,0.6548,0.3391
10898,5.79,2.182027875520466,0.998213368633684,1.1915845624193664,0.228,0.6191
2308,2.59,2.8721947742368252,1.3277206942020847,1.4608673200881717,0.4802,1.612
613,8.58,0.16485183605854245,0.33414534884846003,0.3954832103406255,1.36,1.682
8918,3.78,0.3433140163008057,0.575807129007974,0.6977858230071348,1.087,0.686
11625,15.06,0.02902183699338441,0.11338928556324372,0.06578431938279235,4.33,5.93
4382,5.46,0.13055144774746652,0.5621007318519775,0.28600899800753893,0.1373,3.179
11221,2.99,0.285837980359677,0.5344110406277421,0.8735106211711654,2.947,2.717
1167,4.19,0.36568058244775636,1.736835882040162,1.2034417913844837,0.6102,0.7178
9314,1.4,0.10656073310221299,1.0092892451233784,0.9096486651412277,1.03,0.7271
5207,2.5,0.501629450743522,1.1179712831785018,1.1771944049991618,1.356,1.009
13458,10.86,0.5580348676293327,0.5628621983606439,0.36737489395435485,0.5808,1.637
8313,4.28,1.5883535587104403,1.6683038962601793,1.2950882520349554,0.3057,0.853
8465,3.01,0.512621781243662,0.5384260458552562,1.1690427250229476,1.51,1.439
3514,2.55,0.7423182717619383,2.1134156826897628,1.6304160170018474,0.9198,0.8223
788,2.29,2.727212921825659,1.4274035826093319,1.7793630079533078,0.2299,0.6398
9135,7.53,1.6749153886080503,0.3690343597909965,0.7892569391334172,0.2698,0.7624
6757,4.91,0.6610549243083337,0.8452278246197839,1.5164254654247844,0.8051,0.5666
9348,2.79,0.5432498700673796,1.1678127273821255,0.6410903647267155,0.7979,1.448
6162,5.45,0.29148153410757394,0.8216915870791838,0.6668608621181733,3.301,3.214
12995,3.37,1.0159627629764587,1.4537087892723555,1.4872714522292874,0.6245,0.4876
10633,7.82,0.6754866174215242,0.49626849096635794,0.4970932062403627,0.4861,1.354
6715,3.08,0.27156058815094175,0.992675430388837,1.0221940821033204,0.1114,0.6314
4435,7.22,0.5342406431172021,0.2847192500131999,0.33277901445458813,0.6902,1.995
11278,15.92,0.033796358858980635,0.1088204865112449,0.06765067281536498,3.708,5.762
9236,3.35,0.748836049194016,1.9348171742934448,2.0724618734984404,1.106,0.677
8090,12.32,0.15718006639257548,0.7427759670901131,0.3668444964106992,1.678,1.513
12031,2.64,0.4426476686503374,0.897838237945831,0.8772803664496716,1.271,1.215
3978,4.06,0.37600902317901713,1.3346431170081436,0.8469738954650563,1.077,1.078
11108,1.88,0.36024304690424724,0.9165287795221899,0.6300146540748378,0.6989,1.981
7161,6.38,1.6376364585632683,1.9604301386758622,1.3286251565433718,0.3403,0.9066
6586,3.66,2.763337323595973,3.2438473269191705,1.6951581678073444,0.08189,0.2423
13954,1.78,0.5464028960527866,1.2626499198251318,1.032238708732655,0.8617,1.082
11016,4.61,0.04901022073817862,0.4242060695552855,0.22922726003154031,5.542,14.18
9488,6.59,0.11201081309731335,0.4641484491462449,0.34541327589221416,1.499,1.743
4171,2.51,0.49425902923467396,1.6316150553880677,1.291496441722965,0.1471,0.6193
10851,6.48,0.16611699068834018,0.33213784623470294,0.36708744458035514,1.743,1.5
14048,7.3,0.11788018099449611,0.3696573778435418,0.2664648949795877,1.594,1.913
12537,5.79,0.10927578718954621,0.40807682441716836,0.5872510257354016,0.634,0.5439
12815,1.94,0.6656336581309079,0.9047606607518899,0.9609725909068236,0.7648,1.063
8920,4.09,0.2372863672797645,0.6375551404380188,1.3043649233880772,1.624,0.5554
528,4.23,1.5798630633826753,0.8729175158440191,1.0991799241844946,0.2403,0.6583
10612,5.27,1.1725247541519033,1.0618996584494254,0.7790476324360702,0.3651,1.054
8213,2.2,2.872600736194654,2.2913219488054746,1.9819991867937674,0.2627,0.6342
2244,9.24,0.16718533832044066,0.2872805464514417,0.34432046415272455,1.755,1.507
2862,6.25,1.3014170537777343,0.5825911033579116,0.7304443477838765,0.3108,0.8871
6441,2.29,3.029751324747553,1.9299714783292035,1.8814642440622622,0.1762,0.4344
10905,3.87,0.6099443681714226,0.856303701109478,1.0550324783606055,2.172,1.992
14275,4.49,0.3363649552304865,0.8216915870791838,0.5694610965839328,1.123,1.393
8432,2.49,0.49160612751729255,1.1373540670354667,1.0852142668088183,2.213,2.159
5773,7.53,0.1866390898063062,0.4028850073126243,0.41128830581961673,1.8,1.46
958,5.43,0.18986933986848853,0.3820485146663872,0.7011061224203746,1.278,1.101
5931,3.24,0.2652610981736798,0.47820096744254437,0.5776270812083079,1.671,1.52
5629,8.52,0.5973455674325655,0.5630698710448258,0.4215393602937085,0.6584,1.928
14113,3.36,0.16332400186531074,0.4955070244576915,0.4111298796694941,1.997,1.957
8540,2.88,0.6071078371949181,0.5373184582062869,1.3295320291533015,1.092,1.321
4084,4.41,1.700321196978583,0.9483719244300605,0.9995108533488988,0.2871,0.8359
11611,2.14,0.27923307631180183,0.6929345228864894,0.39945882812163286,1.046,2.164
