,Saddle height,Stack,CS textfield
4658,760.0,517.3313,405.0
3911,735.0,579.75903,410.0
4436,763.0,637.7223,435.0
253,760.0,609.90985,450.0
9,718.0,621.24506,450.0
752,380.0,502.91678,380.0
4256,820.0,593.18,390.0
4218,780.0,638.21075,440.0
3184,250.0,342.2247,325.0
3730,770.0,623.5291,450.0
2910,765.0,452.5445,365.0
3962,740.0,585.11664,405.0
4164,495.0,438.00943,360.0
2836,718.0,589.55,440.0
4249,718.0,562.2956,425.0
3567,765.0,528.4208,384.74
1698,760.0,555.82886,445.0
2652,718.0,521.36316,399.09
1656,250.0,488.1453,362.0
301,753.0,630.15784,450.0
650,500.0,466.08325,393.0
3071,700.0,520.09094,411.93625
1783,830.0,606.6935,375.0
3223,705.0,523.46576,400.0
3030,720.0,574.5775,377.66
4050,718.0,562.5074,500.0
2839,730.0,602.4462,440.0
2612,724.0,569.42505,394.58
3208,662.0,523.7226,430.0
1067,718.0,528.0521,420.0
1642,718.0,531.32025,415.0
2100,653.0,528.6809,419.44
4522,400.0,527.6773,500.0
2625,718.0,569.586,385.48
1268,480.0,502.2408,380.0
2939,718.0,595.2271,405.0
1583,790.0,511.40335,388.0
4407,700.0,529.3142,425.0
1303,785.0,657.11694,440.0
881,290.0,395.6299,295.0
4682,790.0,553.76526,420.0
3361,706.0,629.4262,484.21
1013,675.0,646.463,430.0
4672,735.0,647.5327,450.0
4566,804.0,594.73553,392.0
675,310.0,494.54303,310.0
1149,600.0,589.9982,405.0
3379,718.0,536.0532,397.67
605,525.0,514.47784,375.0
2827,755.0,580.60315,390.0
3134,718.0,606.5021,410.0
3804,736.0,600.4672,425.0
4538,315.0,523.95953,365.0
1210,795.0,577.885,395.0
4172,605.0,534.04254,388.0
4600,700.0,628.9015,430.0
3820,600.0,508.23816,403.0
4105,700.0,520.5151,381.0
2343,722.0,566.2249,435.0
1461,786.0,509.8433,392.9
1336,718.0,536.2539,420.0
2764,450.0,519.4528,430.0
159,830.0,667.99225,405.0
308,550.0,538.4234,414.26
433,786.0,552.8672,430.0
1988,680.0,582.1909,409.0
1842,750.0,525.05493,369.77
2451,700.0,527.98303,453.0
4144,679.0,582.114,425.0
3822,789.0,566.5414,405.0
1285,718.0,556.97284,400.0
4031,530.0,532.79895,415.3
1903,310.0,381.05844,342.9
312,718.0,431.14017,380.0
4065,750.0,534.24567,390.0
2821,755.0,528.3544,405.0
3025,730.0,628.2504,405.0
4785,733.0,625.4927,430.0
390,825.0,667.8034,440.0
3092,760.0,553.0886,400.0
1855,751.0,547.56696,420.0
2503,740.0,621.05225,465.0
1167,730.0,519.5102,375.6
2793,650.0,591.9108,458.11
2429,730.0,653.9179,455.0
4686,715.0,548.8773,408.0
714,780.0,643.11127,407.06
488,718.0,500.14062,430.0
4147,750.0,576.0396,440.0
385,660.0,512.155,425.0
4674,810.0,705.3558,475.0
4346,790.0,548.8771,425.0
2497,660.0,558.82983,435.0
2706,718.0,590.22217,350.0
1504,450.0,561.5508,411.0
1555,810.0,621.3014,405.0
4459,330.0,382.1989,350.0
2918,680.0,536.9972,405.0
2731,701.0,582.7991,421.8
4178,720.0,549.55853,380.72
1281,645.0,493.523,400.0
4777,760.0,620.8289,420.0
4644,790.0,567.93066,436.0
3046,825.0,650.2454,410.0
4240,812.8,583.0125,425.0
106,605.0,542.53094,400.0
4512,715.0,512.9319,450.0
3721,690.0,554.21796,435.0
3413,650.0,578.4056,420.0
4678,770.0,651.1192,425.0
1662,650.0,595.90735,420.0
4613,777.0,624.1493,417.0
2144,762.0,584.6758,399.5
4283,770.0,663.07544,450.0
4649,815.0,607.2962,410.0
1427,410.0,436.51514,400.0
1053,780.0,558.35376,390.0
2915,685.0,507.49243,395.0
4783,810.0,546.0229,430.0
2512,650.0,507.76874,390.5
835,800.0,645.6287,467.3
4606,795.0,580.3122,405.0
3381,710.0,591.1637,380.0
1776,518.0,543.51105,405.0
2310,718.0,539.2707,390.0
1908,630.0,494.85156,870.0
1272,774.0,612.163,380.0
377,425.0,456.69458,390.0
849,800.0,578.2504,461.42
3571,745.0,577.3206,405.0
3993,775.0,635.177,415.0
3303,758.0,643.15295,475.0
1349,796.0,516.9146,425.0
1280,666.0,534.3817,420.0
4087,705.0,556.83875,490.0
1859,718.0,428.14072,405.0
3470,684.0,572.9133,436.85
3228,840.0,622.6087,400.3
997,410.0,543.484,467.09
2892,755.0,637.17737,438.0
1370,690.0,515.58295,425.0
4006,710.0,607.027,415.0
4278,665.0,550.33057,463.0
2710,804.9,632.0633,406.0
2051,750.0,558.8173,440.0
3873,782.0,614.5126,450.0
4719,835.0,653.26715,420.0
1027,718.0,563.86414,400.0
122,810.0,603.21643,410.0
4036,795.0,659.40393,465.0
4061,711.0,558.71936,389.0
1422,796.0,664.7323,460.0
4547,514.0,562.53827,458.81
4515,718.0,533.41077,419.0
2671,550.0,608.647,500.0
1872,789.0,605.29913,412.0
3455,685.0,582.58124,530.0
4684,700.0,564.98193,390.3
3551,620.0,488.1027,310.0
2842,400.0,484.9563,373.0
