,SSB_Include,CSB_Include,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,Material,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length
9237,0.0,0.0,0.45421,0.049745,0.56541,0.028226,74.60242808124494,0.03916,0.02972,0.03474,0.03488,0.016353,0.011535,0.027415,0.01567,0.034487,0.022788,0.03313,71.41832,0.14375,0.551081,0.06739,0.135865,0.0112947552083332,0.0126413872420262,Steel,0.329846,0.381567,0.010334,0.006401,0.001903,0.003043,0.003054,0.00885,0.002345,0.006206,0.660599
8922,1.0,1.0,0.428072,0.072977,0.56664,0.034613,72.0585527666436,0.04012,0.02885,0.03471,0.03601,0.022086,0.010775,0.027851,0.01536,0.048702,0.015864,0.02816,72.44123,0.19125,0.784134,0.0694,0.129934,0.013708,0.018093,Steel,0.330177,0.299777,0.008548,0.006327,0.002624,0.002506,0.00053968,0.002825,0.000872,0.003573,0.674965
11585,1.0,1.0,0.35801,-0.02328,0.55498,0.17545,74.661,0.04585,0.0408,0.04277,0.04627,0.022482,0.011245,0.0347,0.01143,0.067853,0.038262,0.0276,65.70767,0.09181,0.67064,0.0696,0.129051,0.01537,0.01573,Aluminum,0.33,0.349621,0.008206,0.003124,0.006949,0.000855,0.005617,0.001092,0.001054,0.004003,0.568519
6892,1.0,1.0,0.404602,0.070057,0.56557,0.044059,74.01170859446506,0.03994,0.02861,0.04496,0.0365,0.023347,0.012988,0.031842,0.01501,0.049875,0.04299,0.04447,73.75261,0.09806,0.587656,0.06797,0.129969,0.016034,0.018008,Titanium,0.330005,0.350116,0.008996,0.001073,0.001192,0.000751,0.00081307,0.0009617,0.000798,0.00095625,0.658852
4783,1.0,1.0,0.29708,-0.01282,0.56564,0.05394,66.36961,0.04082,0.02912,0.04473,0.08464,0.021881,0.014326,0.031232,0.01434,0.03998,0.031698,0.031263,69.55353,0.18468,0.31771,0.0682,0.120863,-0.000147,0.000109,Aluminum,0.330494,0.300662,0.009216,0.001014,0.001998,0.001276,0.00065075,0.008124,0.008348,0.005268,0.415527
1938,1.0,0.0,0.415,0.07404558742014,0.5656,0.03,73.28689470997116,0.04165,0.0257,0.0322,0.0365,0.02335,0.011,0.028,0.015,0.036,0.0143,0.0254,73.28689470997116,0.132,0.5642999999999999,0.069,0.13,0.016,0.0177455382843988,Steel,0.33,0.35,0.013,0.0011048048188072,0.0033580693418654,0.0055542067494571,0.0044730349968235,0.0050283300972442,0.0085137414905882,0.0005254956618461,0.6368407216794197
10961,0.0,0.0,0.417983,0.032378,0.5656,0.050378,71.99999647998123,0.04726,0.0286,0.03928,0.0365,0.02335,0.014008,0.028141,0.015,0.049213,0.057246,0.030459,69.68879,0.12018,0.45361,0.06964,0.135,0.0112947552083332,0.0126413872420262,Steel,0.33,0.33361,0.009,0.006085,0.00621,0.001328,0.006509,0.002527,0.003454,0.002108,0.704131
7728,1.0,1.0,0.421682,0.053826,0.57411,0.057202,73.18647748213814,0.04,0.0286,0.04907,0.03505,0.018998,0.013,0.0318,0.015,0.052236,0.05209,0.025123,71.373,0.07956,0.432119,0.07207,0.134067,0.016,0.018,Steel,0.33,0.35,0.009,0.002435,0.003178,0.00144,0.004047,0.001631,0.000866,0.001614,0.671385
2425,0.0,1.0,0.453,0.023,0.52,0.045,71.4,0.04,0.0286,0.038,0.035,0.02335,0.013,0.0318,0.015,0.0396,0.2623999999999999,0.0212,72.0,0.1235999999999999,0.463,0.068,0.135,0.0158425319267067,0.018,Steel,0.33,0.35,0.009,0.0044469395092523,0.0006011928985726,0.00062267336235,0.0006797925494269,0.0077528837469397,0.0046873878478128,0.0090267455661652,0.6335006463124343
11953,1.0,1.0,0.346062,-0.02315,0.6233,0.018657,77.9635703948209,0.04598,0.03261,0.05364,0.04624,0.019217,0.020411,0.034274,0.01145,0.068717,0.111171,0.043559,71.67754,0.11376,0.609008,0.06865,0.137626,0.015668,0.015745,Titanium,0.33,0.337749,0.007739,0.002505,0.001129,0.008063,0.008449,0.00399,0.001108,0.00892,0.567957
13408,0.0,0.0,0.402731,0.026619,0.56454,0.03467,71.87113827185631,0.03917,0.02958,0.04629,0.03774,0.026238,0.018326,0.031413,0.01478,0.042041,0.046857,0.027274,69.21481,0.11216,0.353692,0.06899,0.140932,0.0112947552083332,0.0126413872420262,Steel,0.329006,0.320797,0.008851,0.002392,0.003029,0.00309,0.002609,0.002286,0.003145,0.003875,0.631787
6590,1.0,1.0,0.441617,0.090577,0.56306,0.034362,72.92434929086579,0.03908,0.028,0.0419,0.03756,0.021401,0.012022,0.030453,0.01488,0.043917,0.031919,0.030643,74.11722,0.1645,0.549617,0.06718,0.128923,0.010665,0.00769,Steel,0.330055,0.322227,0.009274,0.002832,0.002947,0.006239,0.001896,0.003087,0.002704,0.00787,0.6491
13897,0.0,0.0,0.405788,0.043358,0.56338,0.051953,71.96985889995734,0.03997,0.03115,0.05011,0.03821,0.023575,0.013737,0.035404,0.01483,0.051915,0.045364,0.038891,69.25278,0.11971,0.434853,0.07348,0.130384,0.0112947552083332,0.0126413872420262,Steel,0.329962,0.348887,0.008796,0.002175,0.002959,0.005402,0.00302,0.003051,0.006426,0.003984,0.637804
5308,1.0,1.0,0.42347,0.06331,0.56984,0.02768,73.61502,0.0352,0.0286,0.03669,0.0365,0.023177,0.013,0.031945,0.015,0.038944,0.018814,0.028316,72.03834,0.1505,0.58653,0.068,0.13,0.016,0.00138,Steel,0.33,0.35,0.009,0.008345,0.000746,0.000883,0.001234,0.005614,0.000898,0.005551,0.659225
2778,1.0,1.0,0.4196,0.07,0.5656,0.0155,73.0,0.0477999999999999,0.0286,0.0358,0.0365,0.02335,0.0108,0.0318,0.015,0.0415,0.0154,0.0249,73.0,0.11,0.5354,0.068,0.136,0.007,0.0108,Steel,0.33,0.388,0.0095,0.001317757268603,0.0063496401645159,0.001993500829876,0.0035010217880097,0.0014323387057207,0.0089413265397976,0.0018313478576439,0.6284606537516827
481,0.0,0.0,0.445,0.065,0.5656,0.045,73.5,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0505,0.0519,0.0304,70.5,0.0945999999999999,0.43,0.068,0.135,0.0158425319267067,0.0177455382843988,Titanium,0.33,0.35,0.009,0.0007782851454797,0.0040229564020869,0.0022149083305229,0.0057906483950561,0.0019645529344049,0.001799482477723,0.0011072315764345,0.6724345479994398
989,0.0,0.0,0.3778249999999999,-0.0127700000000004,0.5656,0.03,74.49999999999999,0.05,0.0286,0.045,0.0365,0.025,0.014,0.0318,0.015,0.03,0.0243999999999999,0.025,74.49999999999999,0.1153,0.4372,0.068,0.12,0.0158425319267067,0.0177455382843988,Steel,0.33,0.3,0.009,0.0072324928937389,0.0012704386762232,0.002985042654354,0.0008060930685534,0.0008312388375701,0.0040584195123032,0.0049228022030391,0.6469089916255598
9253,1.0,1.0,0.396548,0.031961,0.56563,0.045586,73.28600025115237,0.04025,0.02737,0.045,0.0363,0.023545,0.011355,0.032597,0.01445,0.051933,0.073864,0.032278,72.98467,0.14352,0.555527,0.06829,0.130422,0.015857,0.018223,Aluminum,0.329775,0.349256,0.00925,0.00407,0.005625,0.002367,0.00141,0.002477,0.003129,0.003688,0.600942
8856,1.0,1.0,0.431106,0.071793,0.56557,0.045273,72.96932647778355,0.04005,0.02858,0.04583,0.03787,0.020243,0.012292,0.03122,0.01501,0.044699,0.051435,0.032176,70.33943,0.12153,0.472955,0.06804,0.135063,0.015919,0.017756,Steel,0.330028,0.350025,0.009032,0.002429,0.001997,0.002325,0.003543,0.001722,0.001119,0.00057056,0.681176
12782,0.0,0.0,0.41046,0.05147,0.56659,0.058325,72.6799827912425,0.04014,0.02902,0.04441,0.03743,0.0229,0.013268,0.031321,0.01477,0.047038,0.042213,0.049057,72.93492,0.196,0.604228,0.06778,0.129777,0.0112947552083332,0.0126413872420262,Steel,0.330126,0.328761,0.009714,0.002786,0.00176,0.003141,0.00272,0.005702,0.004874,0.003152,0.70689
7377,1.0,1.0,0.50436,0.05396,0.56554,0.15413,76.04692,0.04001,0.02903,0.05484,0.0375,0.023065,0.014019,0.031703,0.0148,0.034002,0.012339,0.025002,73.87932,0.15608,0.50909,0.06849,0.130039,0.015593,0.017401,Titanium,0.330465,0.34982,0.008517,0.006212,0.001637,0.000862,0.004992,0.001801,0.005486,0.003281,0.661149
8226,0.0,0.0,0.402751,0.049454,0.56283,0.054857,72.33082231088977,0.04329,0.03343,0.0561,0.03719,0.02264,0.025405,0.034622,0.01473,0.067469,0.042768,0.030352,71.88642,0.18556,0.507237,0.06878,0.13325,0.0112947552083332,0.0126413872420262,Steel,0.332638,0.333851,0.008755,0.00245,0.001603,0.00124,0.003103,0.01084,0.003182,0.003105,0.760693
13352,0.0,0.0,0.366722,-0.013745,0.56514,0.019379,70.98001701308934,0.03885,0.02925,0.04314,0.03671,0.026618,0.020131,0.030824,0.01481,0.039265,0.042745,0.025534,69.29698,0.10356,0.253808,0.0685,0.139277,0.0112947552083332,0.0126413872420262,Steel,0.329561,0.312012,0.008917,0.001704,0.007994,0.002934,0.002233,0.002138,0.003967,0.002686,0.579827
11892,0.0,0.0,0.418465,0.069128,0.58209,0.100917,77.08448124975166,0.04808,0.03296,0.03715,0.04239,0.032902,0.011508,0.037631,0.01268,0.06571,0.044525,0.042606,76.74759,0.11641,0.458221,0.0716,0.136761,0.0112947552083332,0.0126413872420262,Steel,0.33,0.340489,0.012609,0.006411,0.005212,0.008677,0.00836,0.004592,0.005871,0.009313,0.536862
2502,0.0,0.0,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.036,0.0365,0.02335,0.013,0.0286,0.015,0.042,0.0214,0.0342,73.0,0.1694,0.5714,0.068,0.13,0.0158425319267067,0.0177455382843988,Steel,0.33,0.35,0.009,0.0070291090142668,0.0006145296904093,0.0032280288600875,0.0005081102529078,0.0031625955034801,0.0020997541796153,0.000925588744869,0.6625652977452035
14214,0.0,0.0,0.390572,0.035547,0.61392,0.223455,71.62923549075208,0.03966,0.03778,0.04021,0.04438,0.026333,0.01219,0.03124,0.01427,0.039334,0.051122,0.03337,70.3812,0.16862,0.467052,0.06923,0.126754,0.0112947552083332,0.0126413872420262,Steel,0.329948,0.261525,0.008517,0.001408,0.000548,0.002783,0.002253,0.00049571,0.002725,0.002365,0.642266
14887,1.0,0.0,0.443163,0.038354,0.56778,0.029178,71.8776699907208,0.03885,0.02828,0.04617,0.0357,0.021021,0.013767,0.03009,0.01463,0.055324,0.043986,0.026415,69.24417,0.12394,0.395885,0.06764,0.128012,0.016284,0.0126413872420262,Steel,0.329963,0.352869,0.009009,0.001711,0.009844,0.002869,0.002418,0.006571,0.004982,0.00049381,0.673295
